ASV.ID,R2.N10B,R2.N10S,R2.N15B,R2.N15S,R2.N20B,R2.N20S,R2.N5B,R2.N5S,R2.S10B,R2.S10S,R2.S15B,R2.S15S,R2.S20B,R2.S20S,R2.S5B,R2.S5S,R3.N10S,R3.N15S,R3.N20S,R3.N5S,R3.S10S,R3.S15S,R3.S20S,R3.S5S,R4.N10B,R4.N10S,R4.N15B,R4.N15S,R4.N20B,R4.N20S,R4.N5B,R4.N5S,R4.S10B,R4.S10S,R4.S15B,R4.S15S,R4.S20B,R4.S20S,R4.S5B,R4.S5S,FL010322,FL011722,FL020121,FL021521,FL031521,FL032921,FL041221,FL042621,FL051021,FL052421,FL060721,FL062121,FL070821,FL071921,FL080221,FL081721,FL091321,FL092721,FL101121,FL102521,FL110821,FL112221,FL120621,FL122021,HPD0-POST,HPD0-PRE,HPD1,HPD14,HPD3,HPD7
6f27755aca9ef7ebabb7351fd3640edf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,56,0,54,0,0,0,9,0,0,0,0,0,0,0,0,0,0
b1b4de55fd2d73826a7b12e73ec4584f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,8,23,0,0,75,52,12,12,16,31,23,17,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92a753e14ded3d4cdf8996a2f438f80a,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,31,34,0,0,0,0,58,0,0,0,25,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333abab035aac2bbe966e6ae70850e02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,14,0,0,0,11,44,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a9d8f6d6fc45e5aa6ba3ffb24e2f4e5c,0,0,0,26,0,11,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fd291dcf0f150b52c96c27e614a9731f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,89,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9463e0c7dacb6e9ed76d3b7221c339ad,0,0,28,0,0,0,0,58,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d72ebdd836cecdba7f6a6951bb779a8a,0,0,0,0,0,0,50,87,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7804085633f2ed72366dda108878fca5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,72,0,0,11,0,8,3,41,0,12,0,18,0,0,0,0,0,0
d763806e390d514c436ab2cb42dd5dae,0,81,0,0,0,0,40,0,0,0,0,0,0,0,57,64,53,0,0,62,39,0,0,41,0,0,0,0,0,0,74,86,0,0,0,0,0,0,51,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b27752c3257fe58f633190a45319e6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,14,0,0,0,0,0,38,0,0
60310bf2ff0d1ae243a475d9214cff10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,52,54,38,57,0,0,0,0,36,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89ac8ec549212e6c85b001628f8956ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,20,0,0,0,29,0,0,0,0,0,0
38836290476c293a5ee97bca90cca4e4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,25,0,0,0,71,0,0
7e80795e880eb8a7bdcebf9804912ccf,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e874dd77683849ea94f6d01705aefe1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,5,13,7,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,11,0
8a4cbc8c97c837d285f487f1dadc2619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09447dc8c669e4263547c44bab8e61a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,5,0,0,33,0,0,0,0,0
a14d5c5c4185ae1aafc2b51a0f29d4bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,55,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f01b1503868f8bcffaaecf33a5d690fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,31,33,14,0,12,8,18,0,5,30,0,18,12,24,0,0,0,0,0,0
6b4aa095927b992cfd2fb733f708e085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
2c3fa1630e3192d17f0252a7171b50d3,36,0,0,0,0,0,0,46,0,58,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
